<<<<<<< HEAD
datetime,ghi,estimator,location
2020-01-01,7272,nrel,soroti
2020-01-02,6599,nrel,soroti
2020-01-03,6565,nrel,soroti
2020-01-04,5703,nrel,soroti
2020-01-05,6379,nrel,soroti
2020-01-06,6077,nrel,soroti
2020-01-07,5795,nrel,soroti
2020-01-08,6309,nrel,soroti
2020-01-09,6926,nrel,soroti
2020-01-10,7093,nrel,soroti
2020-01-11,6577,nrel,soroti
2020-01-12,6473,nrel,soroti
2020-01-13,5935,nrel,soroti
2020-01-14,2560,nrel,soroti
2020-01-15,3235,nrel,soroti
2020-01-16,3590,nrel,soroti
2020-01-17,3172,nrel,soroti
2020-01-18,1321,nrel,soroti
2020-01-19,2472,nrel,soroti
2020-01-20,7015,nrel,soroti
2020-01-21,5420,nrel,soroti
2020-01-22,2744,nrel,soroti
2020-01-23,3366,nrel,soroti
2020-01-24,1998,nrel,soroti
2020-01-25,709,nrel,soroti
2020-01-26,939,nrel,soroti
2020-01-27,2221,nrel,soroti
2020-01-28,4412,nrel,soroti
2020-01-29,4341,nrel,soroti
2020-01-30,5120,nrel,soroti
2020-01-31,4685,nrel,soroti
2020-02-01,2564,nrel,soroti
2020-02-02,6053,nrel,soroti
2020-02-03,4570,nrel,soroti
2020-02-04,6930,nrel,soroti
2020-02-05,6783,nrel,soroti
2020-02-06,5050,nrel,soroti
2020-02-07,7609,nrel,soroti
2020-02-08,7572,nrel,soroti
2020-02-09,7592,nrel,soroti
2020-02-10,7709,nrel,soroti
2020-02-11,7686,nrel,soroti
2020-02-12,7135,nrel,soroti
2020-02-13,6463,nrel,soroti
2020-02-14,7156,nrel,soroti
2020-02-15,7405,nrel,soroti
2020-02-16,6641,nrel,soroti
2020-02-17,7627,nrel,soroti
2020-02-18,7389,nrel,soroti
2020-02-19,7136,nrel,soroti
2020-02-20,7113,nrel,soroti
2020-02-21,6967,nrel,soroti
2020-02-22,6356,nrel,soroti
2020-02-23,7519,nrel,soroti
2020-02-24,6795,nrel,soroti
2020-02-25,5643,nrel,soroti
2020-02-26,6801,nrel,soroti
2020-02-27,6422,nrel,soroti
2020-02-28,6160,nrel,soroti
2020-02-29,0,nrel,soroti
2020-03-01,5580,nrel,soroti
2020-03-02,5035,nrel,soroti
2020-03-03,5836,nrel,soroti
2020-03-04,2563,nrel,soroti
